Page,Hits
1,2126
2,1503
3,1227
4,1063
5,951
6,868
7,803
8,751
9,709
10,672
11,641
12,614
13,590
14,568
15,549
16,531
17,516
18,501
19,488
20,475
21,464
22,453
23,443
24,434
25,425
26,417
27,409
28,402
29,395
30,388
31,382
32,376
33,370
34,365
35,359
36,354
37,349
38,345
39,340
40,336
41,332
42,328
43,324
44,320
45,317
46,313
47,310
48,307
49,304
50,301
51,298
52,295
53,292
54,289
55,287
56,284
57,282
58,279
59,277
60,274
61,272
62,270
63,268
64,266
65,264
66,262
67,260
68,258
69,256
70,254
71,252
72,250
73,249
74,247
75,245
76,244
77,242
78,241
79,239
80,238
81,236
82,235
83,233
84,232
85,231
86,229
87,228
88,227
89,225
90,224
91,223
92,222
93,220
94,219
95,218
96,217
97,216
98,215
99,214
100,213
101,211
102,210
103,209
104,208
105,207
106,206
107,205
108,205
109,204
110,203
111,202
112,201
113,200
114,199
115,198
116,197
117,197
118,196
119,195
120,194
121,193
122,192
123,192
124,191
125,190
126,189
127,189
128,188
129,187
130,186
131,186
132,185
133,184
134,184
135,183
136,182
137,182
138,181
139,180
140,180
141,179
142,178
143,178
144,177
145,177
146,176
147,175
148,175
149,174
150,174
151,173
152,172
153,172
154,171
155,171
156,170
157,170
158,169
159,169
160,168
161,168
162,167
163,166
164,166
165,165
166,165
167,164
168,164
169,164
170,163
171,163
172,162
173,162
174,161
175,161
176,160
177,160
178,159
179,159
180,158
181,158
182,158
183,157
184,157
185,156
186,156
187,155
188,155
189,155
190,154
191,154
192,153
193,153
194,153
195,152
196,152
197,151
198,151
199,151
200,150
201,150
202,150
203,149
204,149
205,148
206,148
207,148
208,147
209,147
210,147
211,146
212,146
213,146
214,145
215,145
216,145
217,144
218,144
219,144
220,143
221,143
222,143
223,142
224,142
225,142
226,141
227,141
228,141
229,140
230,140
231,140
232,140
233,139
234,139
235,139
236,138
237,138
238,138
239,137
240,137
241,137
242,137
243,136
244,136
245,136
246,136
247,135
248,135
249,135
250,134
251,134
252,134
253,134
254,133
255,133
256,133
257,133
258,132
259,132
260,132
261,132
262,131
263,131
264,131
265,131
266,130
267,130
268,130
269,130
270,129
271,129
272,129
273,129
274,128
275,128
276,128
277,128
278,127
279,127
280,127
281,127
282,127
283,126
284,126
285,126
286,126
287,125
288,125
289,125
290,125
291,125
292,124
293,124
294,124
295,124
296,124
297,123
298,123
299,123
300,123
301,123
302,122
303,122
304,122
305,122
306,122
307,121
308,121
309,121
310,121
311,121
312,120
313,120
314,120
315,120
316,120
317,119
318,119
319,119
320,119
321,119
322,118
323,118
324,118
325,118
326,118
327,118
328,117
329,117
330,117
331,117
332,117
333,116
334,116
335,116
336,116
337,116
338,116
339,115
340,115
341,115
342,115
343,115
344,115
345,114
346,114
347,114
348,114
349,114
350,114
351,113
352,113
353,113
354,113
355,113
356,113
357,112
358,112
359,112
360,112
361,112
362,112
363,112
364,111
365,111
366,111
367,111
368,111
369,111
370,110
371,110
372,110
373,110
374,110
375,110
376,110
377,109
378,109
379,109
380,109
381,109
382,109
383,109
384,108
385,108
386,108
387,108
388,108
389,108
390,108
391,107
392,107
393,107
394,107
395,107
396,107
397,107
398,107
399,106
400,106
401,106
402,106
403,106
404,106
405,106
406,105
407,105
408,105
409,105
410,105
411,105
412,105
413,105
414,104
415,104
416,104
417,104
418,104
419,104
420,104
421,104
422,103
423,103
424,103
425,103
426,103
427,103
428,103
429,103
430,103
431,102
432,102
433,102
434,102
435,102
436,102
437,102
438,102
439,101
440,101
441,101
442,101
443,101
444,101
445,101
446,101
447,101
448,100
449,100
450,100
451,100
452,100
453,100
454,100
455,100
456,100
457,99
458,99
459,99
460,99
461,99
462,99
463,99
464,99
465,99
466,98
467,98
468,98
469,98
470,98
471,98
472,98
473,98
474,98
475,98
476,97
477,97
478,97
479,97
480,97
481,97
482,97
483,97
484,97
485,97
486,96
487,96
488,96
489,96
490,96
491,96
492,96
493,96
494,96
495,96
496,95
497,95
498,95
499,95
500,95
501,95
502,95
503,95
504,95
505,95
506,94
507,94
508,94
509,94
510,94
511,94
512,94
513,94
514,94
515,94
516,94
517,93
518,93
519,93
520,93
521,93
522,93
523,93
524,93
525,93
526,93
527,93
528,93
529,92
530,92
531,92
532,92
533,92
534,92
535,92
536,92
537,92
538,92
539,92
540,91
541,91
542,91
543,91
544,91
545,91
546,91
547,91
548,91
549,91
550,91
551,91
552,90
553,90
554,90
555,90
556,90
557,90
558,90
559,90
560,90
561,90
562,90
563,90
564,89
565,89
566,89
567,89
568,89
569,89
570,89
571,89
572,89
573,89
574,89
575,89
576,89
577,88
578,88
579,88
580,88
581,88
582,88
583,88
584,88
585,88
586,88
587,88
588,88
589,88
590,88
591,87
592,87
593,87
594,87
595,87
596,87
597,87
598,87
599,87
600,87
601,87
602,87
603,87
604,86
605,86
606,86
607,86
608,86
609,86
610,86
611,86
612,86
613,86
614,86
615,86
616,86
617,86
618,86
619,85
620,85
621,85
622,85
623,85
624,85
625,85
626,85
627,85
628,85
629,85
630,85
631,85
632,85
633,84
634,84
635,84
636,84
637,84
638,84
639,84
640,84
641,84
642,84
643,84
644,84
645,84
646,84
647,84
648,83
649,83
650,83
651,83
652,83
653,83
654,83
655,83
656,83
657,83
658,83
659,83
660,83
661,83
662,83
663,83
664,82
665,82
666,82
667,82
668,82
669,82
670,82
671,82
672,82
673,82
674,82
675,82
676,82
677,82
678,82
679,82
680,82
681,81
682,81
683,81
684,81
685,81
686,81
687,81
688,81
689,81
690,81
691,81
692,81
693,81
694,81
695,81
696,81
697,81
698,80
699,80
700,80
701,80
702,80
703,80
704,80
705,80
706,80
707,80
708,80
709,80
710,80
711,80
712,80
713,80
714,80
715,79
716,79
717,79
718,79
719,79
720,79
721,79
722,79
723,79
724,79
725,79
726,79
727,79
728,79
729,79
730,79
731,79
732,79
733,79
734,78
735,78
736,78
737,78
738,78
739,78
740,78
741,78
742,78
743,78
744,78
745,78
746,78
747,78
748,78
749,78
750,78
751,78
752,78
753,77
754,77
755,77
756,77
757,77
758,77
759,77
760,77
761,77
762,77
763,77
764,77
765,77
766,77
767,77
768,77
769,77
770,77
771,77
772,76
773,76
774,76
775,76
776,76
777,76
778,76
779,76
780,76
781,76
782,76
783,76
784,76
785,76
786,76
787,76
788,76
789,76
790,76
791,76
792,76
793,75
794,75
795,75
796,75
797,75
798,75
799,75
800,75
801,75
802,75
803,75
804,75
805,75
806,75
807,75
808,75
809,75
810,75
811,75
812,75
813,75
814,74
815,74
816,74
817,74
818,74
819,74
820,74
821,74
822,74
823,74
824,74
825,74
826,74
827,74
828,74
829,74
830,74
831,74
832,74
833,74
834,74
835,74
836,74
837,73
838,73
839,73
840,73
841,73
842,73
843,73
844,73
845,73
846,73
847,73
848,73
849,73
850,73
851,73
852,73
853,73
854,73
855,73
856,73
857,73
858,73
859,73
860,72
861,72
862,72
863,72
864,72
865,72
866,72
867,72
868,72
869,72
870,72
871,72
872,72
873,72
874,72
875,72
876,72
877,72
878,72
879,72
880,72
881,72
882,72
883,72
884,71
885,71
886,71
887,71
888,71
889,71
890,71
891,71
892,71
893,71
894,71
895,71
896,71
897,71
898,71
899,71
900,71
901,71
902,71
903,71
904,71
905,71
906,71
907,71
908,71
909,70
910,70
911,70
912,70
913,70
914,70
915,70
916,70
917,70
918,70
919,70
920,70
921,70
922,70
923,70
924,70
925,70
926,70
927,70
928,70
929,70
930,70
931,70
932,70
933,70
934,70
935,70
936,69
937,69
938,69
939,69
940,69
941,69
942,69
943,69
944,69
945,69
946,69
947,69
948,69
949,69
950,69
951,69
952,69
953,69
954,69
955,69
956,69
957,69
958,69
959,69
960,69
961,69
962,69
963,68
964,68
965,68
966,68
967,68
968,68
969,68
970,68
971,68
972,68
973,68
974,68
975,68
