ProcessedItems,instantaneous_ops_per_sec,keyspace_hits,keyspace_misses,hitRate,used_memory,evicted_keys,MemoryFragmentationRatio,keyspace,totalExecutionTime
1,0,0,2,0,549144,0,8.7940212403304,2,0.00045108795166016
5949,5664,2844,3106,0.47798319327731,887768,0,5.4396914509196,3106,0.5713951587677
11898,10075,7705,4194,0.64753340616859,1017456,359,4.7463320281172,3835,0.97254705429077
17847,14416,12928,4920,0.72433886149709,1049488,721,4.6014666199137,4199,1.3529491424561
23796,17015,18217,5580,0.76551666176409,1049488,1381,4.6014666199137,4199,1.7284309864044
29745,17757,23474,6272,0.78914812075573,1049488,2073,4.6014666199137,4199,2.0874030590057
35694,17461,28715,6980,0.8044544053789,1049488,2781,4.6014666199137,4199,2.4933450222015
41643,17301,33985,7659,0.81608394966862,1049488,3460,4.6014666199137,4199,2.8838701248169
47592,17408,39243,8350,0.82455403105499,1049488,4151,4.6014666199137,4199,3.2573029994965
53541,17360,44533,9009,0.83173956893654,1049488,4810,4.6014666199137,4199,3.6256930828094
59490,17848,49794,9697,0.83700055470575,1049488,5498,4.6014666199137,4199,3.9753811359406
65439,18106,55082,10358,0.84171760391198,1049488,6159,4.6014666199137,4199,4.350102186203
71388,17920,60324,11065,0.84500413228929,1049488,6866,4.6014666199137,4199,4.7386121749878
77337,17878,65634,11704,0.84866430474023,1049488,7505,4.6014666199137,4199,5.1083071231842
83286,17767,70926,12361,0.85158548152773,1049488,8162,4.6014666199137,4199,5.4728779792786
89235,17958,76158,13078,0.85344479806356,1049488,8879,4.6014666199137,4199,5.83571600914
95184,17893,81429,13756,0.85548143089773,1049488,9557,4.6014666199137,4199,6.2029349803925
101133,18135,86713,14421,0.8574070045682,1049488,10222,4.6014666199137,4199,6.5677101612091
107082,18165,92003,15080,0.85917465890944,1049488,10881,4.6014666199137,4199,6.927953004837
113031,17961,97217,15815,0.8600838700545,1049488,11616,4.6014666199137,4199,7.3321239948273
118980,17846,102435,16546,0.8609357796623,1049488,12347,4.6014666199137,4199,7.6939980983734
124929,17698,107750,17180,0.86248299047467,1049488,12981,4.6014666199137,4199,8.0685620307922
130878,17639,113010,17869,0.86346931134865,1049488,13670,4.6014666199137,4199,8.4371891021729
136827,17905,118254,18574,0.8642529306867,1049488,14375,4.6014666199137,4199,8.8056640625
142776,18206,123520,19257,0.86512533531311,1049488,15058,4.6014666199137,4199,9.1554591655731
148725,18193,128782,19944,0.865901052943,1049488,15745,4.6014666199137,4199,9.5216810703278
154674,18049,134023,20652,0.86648133182479,1049488,16453,4.6014666199137,4199,9.902575969696
160623,18045,139263,21361,0.86701240163363,1049488,17162,4.6014666199137,4199,10.276746988297
166572,17943,144502,22071,0.86749953473852,1049488,17872,4.6014666199137,4199,10.647623062134
172521,17931,149752,22770,0.86801683263584,1049488,18571,4.6014666199137,4199,11.007261037827
178470,18060,155037,23434,0.86869575449233,1049488,19235,4.6014666199137,4199,11.368296146393
184419,18213,160279,24141,0.86909771174493,1049488,19942,4.6014666199137,4199,11.736844062805
190368,18369,165577,24792,0.86976871234287,1049488,20593,4.6014666199137,4199,12.09163403511
196317,18309,170889,25429,0.87047035931499,1049488,21230,4.6014666199137,4199,12.457992076874
202266,17998,176090,26177,0.87058195355644,1049488,21978,4.6014666199137,4199,12.846251964569
208215,17810,181393,26823,0.87117704691282,1049488,22624,4.6014666199137,4199,13.232431173325
214164,17643,186662,27503,0.87158032358228,1049488,23304,4.6014666199137,4199,13.597623109818
220113,17782,191938,28176,0.87199360331465,1049488,23977,4.6014666199137,4199,13.952172994614
226062,17947,197176,28887,0.87221703684371,1049488,24688,4.6014666199137,4199,14.320862054825
232011,18151,202399,29613,0.87236436046411,1049488,25414,4.6014666199137,4199,14.681064128876
237960,18396,207653,30308,0.87263459138262,1049488,26109,4.6014666199137,4199,15.042458057404
243909,18161,212971,30939,0.873154032225,1049488,26740,4.6014666199137,4199,15.428756952286
249858,17759,218169,31690,0.8731684670154,1049576,27490,4.6010808173967,4200,15.82942700386
255807,17418,223427,32381,0.873416781336,1049488,28182,4.6014666199137,4199,16.22300696373
261756,17031,228716,33041,0.87377223913783,1049488,28842,4.6014666199137,4199,16.605158090591
267705,17251,234021,33685,0.87417166593203,1049488,29486,4.6014666199137,4199,16.959264993668
273654,17225,239310,34345,0.87449525862857,1049488,30146,4.6014666199137,4199,17.337522029877
279603,17730,244600,35004,0.87480865795911,1049488,30805,4.6014666199137,4199,17.706499099731
285552,17805,249863,35690,0.87501444565457,1049488,31491,4.6014666199137,4199,18.089457035065
291501,17705,255154,36348,0.87530788811054,1049488,32149,4.6014666199137,4199,18.457602977753
297450,18013,260452,36999,0.87561312619558,1049488,32800,4.6014666199137,4199,18.812829017639
